"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
"10625","35.187967","-106.6621504","100","Budget","","","OVERPASS","","","car_rental","transport"
"10630","36.78137","-76.2275394","50","","","","OVERPASS","","","parking","parking"
"26680","42.3331857","-83.0456926","50","Jimmy John's"," Detroit Medical Center"," One Campus Martius Garage""""","Monroe Street Detroit MI 48226, Monroe Street Detroit MI 48226, Farmer Street Detroit MI 48226"",yes,OVERPASS,,,""doctors, fast_food, parking, parking_entrance, vending_machine"",food_and_drink","","","",""
"10668","42.3361891","-71.1032519","50","Courtyard Cafe","","","OVERPASS","","","restaurant","food_and_drink"
"10670","30.0863627","-83.5716234","50","Huddle House","","","OVERPASS","","","restaurant","food_and_drink"
"10674","44.1457099","-93.9925363","50","","","","OVERPASS","","","parking","parking"
"26727","38.6240832","-90.2549252","50","","","","OVERPASS","","","parking","parking"
"26731","33.5256415","-86.7742249","50","","","","OVERPASS","","","parking","parking"
"10710","37.7108913","-121.9188327","50","","","destination","OVERPASS","","","parking","parking"
"10712","39.9808875","-105.0257228","50","Anthem Community Park","","","OVERPASS","","","parking","parking"
"10713","43.043739","-91.1786029","50","","","","OVERPASS","","","parking","parking"
"10717","38.3806973","-121.3709855","50","","","","OVERPASS","","","parking","parking"
"26775","33.4812467","-82.199057","200","Chicken Salad Chick"," Hello Poké"," Smoothie King""""","Steiner Way Grovetown GA 30813, Steiner Way Grovetown GA 30813"",,OVERPASS,,,fast_food,food_and_drink","","","",""
"10762","29.627897","-82.3741387","200","","","","OVERPASS","","","parking","parking"
"10763","29.6506338","-97.5942666","100","","","","OVERPASS","","","parking","parking"
"10765","39.6255847","-105.0900173","50","","","customers","OVERPASS","","","parking","parking"
"26820","42.5431088","-83.1148225","50","","","","OVERPASS","","","parking","parking"
"10810","36.5736142","-121.8049297","50","","","","OVERPASS","","","parking","parking"
"10811","37.7108705","-122.1637578","50","","","","OVERPASS","","","parking","parking"
"10814","42.7205998","-73.8231653","50","Forest Park Elementary School","","","OVERPASS","","","school","education"
"26832","35.9753386","-105.3361413","200","Mora Post Office","Main Street Mora NM 87732","","OVERPASS","","","post_office","other"
"26850","34.0227826","-118.3906775","50","The Culver Studios","","","OVERPASS","","","studio","other"
"10856","41.0258885","-89.411159","100","Victoria's Country Diner","","","OVERPASS","","","restaurant","food_and_drink"
"10859","35.2690733","-77.5745712","50","","","","OVERPASS","","","parking","parking"
"10906","34.0245197","-118.2408635","100","","","","OVERPASS","","","parking","parking"
"26905","39.9555256","-82.8032395","50","","","","OVERPASS","","","parking","parking"
"10957","42.3386427","-71.1081933","50","Caffè Nero"," Joslin Diabetes Center"," The Winsor School""""","Longwood Avenue Boston MA 02215, Joslin Place Boston 02215, Pilgrim Road Boston MA 02215"",,OVERPASS,['Mo-Fr 06:30-18:00'],""[{'days': ['{""Mo-Fr'], 'open': '06:30', 'close': '18:00""}'}]"",cafe"," clinic"," school""""","food_and_drink",""
"26944","38.4383593","-121.41824","100","Quickly"," Shell""""","Sheldon Road Sacramento CA 95758, Sheldon Road Elk Grove CA 95758"",,OVERPASS,,,""cafe, car_wash, fuel"",food_and_drink","","","","",""
"26946","40.1747535","-76.9837301","50","","","","OVERPASS","","","parking","parking"
"10998","33.8773703","-98.5480614","200","Whataburger","McNiel Avenue Wichita Falls TX 76308","","OVERPASS","","","fast_food","food_and_drink"
"11000","37.4179427","-121.9557709","50","","","customers","OVERPASS","","","parking","parking"
"26989","38.875551","-76.9884296","50","","","private","OVERPASS","","","parking","parking"
"26994","37.6586908","-122.3958374","50","","","","OVERPASS","","","parking","parking"
"11043","38.065199","-122.6458521","50","","","private","OVERPASS","","","parking","parking"
"11044","39.7370937","-105.021967","50","","","","OVERPASS","","","bench","other"
"11047","39.6421303","-105.8738859","50","Early Riser Lot","","","OVERPASS","","","parking","parking"
"11050","40.4868405","-78.4007469","50","","","","OVERPASS","","","parking","parking"
"11051","30.0217148","-97.8707382","50","","","","OVERPASS","","","parking","parking"
"27023","42.088111","-72.6387199","200","CVS Pharmacy","Springfield Street","","OVERPASS","","","pharmacy","healthcare"
"11084","39.7600909","-104.9980745","50","","","","OVERPASS","","","parking","parking"
"11085","36.2801015","-78.6021812","200","","","private","OVERPASS","","","loading_dock","other"
"11086","39.2965019","-76.6070761","50","","","","OVERPASS","","","parking","parking"
"11089","41.6447764","-86.289169","100","Pokagon Band Tribal Police","Prairie Avenue South Bend IN 46614","","OVERPASS","","","police","government_civic"
"11091","38.2360429","-85.801383","100","Maupin Elementary School","","","OVERPASS","","","school","education"
"12098","47.046319","-122.7628595","50","","","","OVERPASS","","","parking","parking"
"27064","44.877746","-93.0763297","50","","","","OVERPASS","","","parking","parking"
"11125","44.4759103","-72.7065","50","","","","OVERPASS","","","parking","parking"
"27089","38.9557165","-77.3955806","50","","","","OVERPASS","","","parking","parking"
"11172","42.6667397","-83.2070206","50","Oakland University","Meadow Brook Road Rochester MI 48309-4401","","OVERPASS","","","university","education"
"11173","42.9614182","-78.7216604","200","Erie Community College North Campus","","","OVERPASS","","","college","education"
"11175","39.1571053","-86.4953029","50","","","","OVERPASS","","","parking","parking"
"27117","38.9587841","-77.0015689","100","Five Guys"," Subway"," 3rd St and Riggs Rd NE""""","Riggs Road Northeast Washington DC 20011, Riggs Road Northeast Washington DC 20011"",,OVERPASS,""['11:00-21:30, Mo-Fr 08:00-22:00', 'Sa-Su 09:00-21:00, 24/7']"",,""bicycle_rental, fast_food, parking, parking_entrance"",food_and_drink","","","",""
"27148","32.7538068","-117.167342","50","UC San Diego Medical Center"," First Unitarian Universalist Church of San Diego""""","West Arbor Drive San Diego 92103, Front Street San Diego 92103"",,OVERPASS,['24/7'],,""hospital, parking, parking_entrance, place_of_worship"",healthcare","","","","",""
"27150","31.29589","-92.490574","50","Capital One","","","OVERPASS","","","bank","financial"
"11272","35.992748","-78.902508","50","Durham Performing Arts Center"," East Parking Deck"," Durham County Courthouse""""","Vivian Street Durham NC 27701, South Mangum Street Durham NC 27701, South Dillard Street Durham NC 27701"",,OVERPASS,,,""bicycle_parking, courthouse, parking, theatre"",parking","","","",""
"11273","41.6469862","-70.2956585","50","","","","OVERPASS","","","parking","parking"
"11274","33.0749638","-96.8381908","100","","","","OVERPASS","","","parking","parking"
"27186","42.2911888","-85.5894858","100","Shell"," Vision Eye Care"," Citgo""""","West Michigan Avenue Kalamazoo MI 49007, South Westnedge Avenue Kalamazoo 49007, West Michigan Avenue Kalamazoo MI 49007"",,OVERPASS,,,""doctors, fuel, parking"",healthcare","","","",""
"27189","44.8644517","-93.3044426","100","","","private","OVERPASS","","","parking","parking"
"11317","37.184586","-80.5245582","100","","","","OVERPASS","","","parking","parking"
"11318","37.2073729","-80.4190885","50","","","private","OVERPASS","","","parking","parking"
"11320","34.1495965","-118.083175","50","Kaiser Permanente Foothill Medical Offices","E. Foothill Boulevard Pasadena CA 91107","","OVERPASS","","","hospital","healthcare"
"27222","39.5621637","-105.108817","50","","","","OVERPASS","","","parking","parking"
"11366","26.8394118","-80.1078494","50","","","","OVERPASS","","","parking","parking"
"11367","31.1635707","-81.4751445","100","Shell","Glynn Avenue Brunswick GA 31520","","OVERPASS","","","fuel","transport"
"27262","44.5741225","-68.7949859","100","Bucksport Fire Department"," Bucksport Police Department""""","Franklin Street Bucksport ME 04416, Franklin Street Bucksport ME 04416"",,OVERPASS,,,""fire_station, police"",government_civic","","","","",""
"11417","37.3208727","-121.9516756","100","Santana Care Montessori School","Spar Avenue San Jose CA 95117"," Olin Avenue San Jose CA 95117""""","yes, private"",OVERPASS,,,""kindergarten, parking, parking_entrance"",parking","","","",""
"11418","38.2704393","-122.6691223","200","Cattlemen's Steakhouse","","","OVERPASS","","","restaurant","food_and_drink"
"11424","34.6832893","-82.8593212","50","","","permissive","OVERPASS","","","parking","parking"
"27297","34.9046789","-82.1806702","100","","","","OVERPASS","","","parking","parking"
"11458","35.7895493","-78.6406263","50","","","private","OVERPASS","","","parking","parking"
"11459","38.4696031","-75.1151381","50","Harris Teeter Fuel Station","Americana Parkway Selbyville DE 19975","","OVERPASS","","","fuel","transport"
"11462","43.131828","-70.8758685","50","","","customers","OVERPASS","","","parking","parking"
"11463","35.8298908","-78.6239989","50","","","","OVERPASS","","","parking","parking"
