"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
16506,41.1375032,-81.7977367,200,"Buffalo Wild Wings, Arby's","Eastpoint Dr OH 44256, Eastpoint Drive Medina OH 44256","nan","OVERPASS","['Mo-We 10:00-22:00', 'Th 09:00-21:00', 'Fr-Su 10:00-22:00']","nan","fast_food, restaurant","food_and_drink"
16507,29.4709693,-98.4634011,50,"La Madeleine French Bakery & Cafe","Broadway Street Alamo Heights TX 78209, Broadway Street Alamo Heights TX 78209, Broadway Street Alamo Heights TX 78209, Broadway Street Alamo Heights TX 78209, Broadway San Antonio TX 78209","yes, yes, yes, yes, customers, customers, customers","OVERPASS","['24/7, 24/7, 24/7, 24/7']","nan","cafe, charging_station, parking","food_and_drink"
16508,33.7873452,-117.8876498,50,"UCI Medical Center, 73 Medical Center Visitor Parking","The City Drive South Orange CA 92868","customers","OVERPASS","['24/7']","nan","hospital, parking","healthcare"
16509,35.616659,-82.5662571,50,"University of North Carolina - Asheville","nan","nan","OVERPASS","nan","nan","parking, university","education"
16510,36.174838,-75.7556143,50,"Outer Bean Cafe Duck","Duck Road Duck NC 27949","nan","OVERPASS","nan","nan","cafe, parking","food_and_drink"
16511,38.8676859,-107.5986934,100,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16512,40.5684597,-75.5513095,100,"Blink","nan","nan","OVERPASS","nan","nan","charging_station","transport"
16513,45.8413815,-95.3888921,50,"Holiday (trucks), Holiday (cars), Holiday Car Wash","Highway 29 South Alexandria 56308, Highway 29 South Alexandria 56308, Highway 29 South Alexandria 56308","nan","OVERPASS","nan","nan","car_wash, fuel, parking","parking"
16514,33.6537954,-84.3979825,50,"McDonald's, ChargePoint","North Central Avenue Hapeville GA 30274","nan","OVERPASS","['05:00-22:00']","nan","charging_station, fast_food","food_and_drink"
16515,37.3732515,-122.0310928,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16516,39.751616,-104.9915704,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16517,43.8514971,-92.4877794,50,"HOUSE CHEVROLET","nan","nan","OVERPASS","nan","nan","parking","parking"
16518,42.3265089,-71.076252,50,"nan","Dudley Street Boston MA 02119, Dudley Street Boston MA 02119","private","OVERPASS","nan","nan","parking","parking"
16519,34.02782,-118.288528,100,"nan","nan","private","OVERPASS","nan","nan","parking","parking"
16520,37.3690144,-118.3958131,50,"El Pollo Loco","nan","yes, customers","OVERPASS","nan","nan","charging_station, fast_food, parking","food_and_drink"
16521,37.8112194,-122.265027,50,"Grand Ave at Webster St, Small Trans Depot","nan","yes","OVERPASS","nan","nan","bicycle_rental, childcare, parking, parking_entrance","parking"
16522,39.1008426,-94.5768819,50,"Kansas City Municipal Court, 11th & Cherry Garage","Locust Street Kansas City MO 64106","yes, yes, yes, private, customers, yes, private","OVERPASS","nan","nan","courthouse, parking, parking_entrance, recycling, waste_basket","parking"
16523,39.7986016,-105.4834057,50,"Monarch Casino, Isle of Capri Casino","Main Street CO","nan","OVERPASS","nan","nan","casino","other"
16524,42.7057095,-73.1887275,50,"Chopsticks","Main Street","nan","OVERPASS","nan","nan","restaurant","food_and_drink"
16525,43.5568628,-73.6454661,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16526,32.7709631,-117.1794757,50,"Twain High School","Linda Vista Road San Diego 92111","nan","OVERPASS","nan","nan","parking, parking_space, school","education"
16527,34.0115484,-118.490225,50,"Civic Center Parking","Civic Center Santa Monica CA","nan","OVERPASS","nan","nan","parking, parking_entrance","parking"
16528,35.6731964,-105.95501,50,"ChargePoint","nan","private","OVERPASS","nan","nan","charging_station, clinic, parking","healthcare"
16529,37.4094217,-121.9429457,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
