time,energy
2017-02-06T18:30:00.000Z,4.886
2017-02-13T18:30:00.000Z,14.815
2017-02-20T18:30:00.000Z,17.341
2017-02-27T18:30:00.000Z,18.356
2017-03-06T18:30:00.000Z,10.716
2017-03-20T18:30:00.000Z,15.971
2017-05-15T18:30:00.000Z,7.034
2017-05-22T18:30:00.000Z,124.674
2017-05-29T18:30:00.000Z,127.776
2017-06-05T18:30:00.000Z,220.559
2017-06-12T18:30:00.000Z,191.386
2017-06-19T18:30:00.000Z,138.304
2017-06-26T18:30:00.000Z,161.468
2017-07-03T18:30:00.000Z,156.314
2017-07-10T18:30:00.000Z,243.507
2017-07-17T18:30:00.000Z,150.664
2017-07-24T18:30:00.000Z,133.084
2017-07-31T18:30:00.000Z,79.528
2017-08-07T18:30:00.000Z,255.336
2017-08-14T18:30:00.000Z,174.222
2017-08-21T18:30:00.000Z,164.14
2017-08-28T18:30:00.000Z,240.437
2017-09-04T18:30:00.000Z,82.183
2017-09-11T18:30:00.000Z,84.487
2017-09-18T18:30:00.000Z,286.345
2017-09-25T18:30:00.000Z,188.884
2017-10-02T18:30:00.000Z,257.007
2017-10-09T18:30:00.000Z,202.933
2017-10-16T18:30:00.000Z,302.039
2017-10-23T18:30:00.000Z,268.7
2017-10-30T18:30:00.000Z,296.149
2017-11-06T18:30:00.000Z,120.546
2017-11-13T18:30:00.000Z,42.187
2017-11-20T18:30:00.000Z,13.143
2017-11-27T18:30:00.000Z,53.054
2017-12-04T18:30:00.000Z,21.733
2017-12-11T18:30:00.000Z,44.239
2017-12-18T18:30:00.000Z,99.02
2017-12-25T18:30:00.000Z,90.591
2018-01-01T18:30:00.000Z,75.577
2018-01-08T18:30:00.000Z,157.348
2018-01-15T18:30:00.000Z,224.224
2018-01-22T18:30:00.000Z,143.291
2018-01-29T18:30:00.000Z,244.858
2018-02-05T18:30:00.000Z,268.061
2018-02-12T18:30:00.000Z,311.564
2018-02-19T18:30:00.000Z,374.359
2018-02-26T18:30:00.000Z,198.992
2018-03-05T18:30:00.000Z,430.359
2018-03-12T18:30:00.000Z,458.451
2018-03-19T18:30:00.000Z,473.837
2018-03-26T18:30:00.000Z,345.347
2018-04-02T18:30:00.000Z,419.443
2018-04-09T18:30:00.000Z,424.242
2018-04-16T18:30:00.000Z,549.904
2018-04-23T18:30:00.000Z,640.749
2018-04-30T18:30:00.000Z,546.479
2018-05-07T18:30:00.000Z,744.473
2018-05-14T18:30:00.000Z,592.325
2018-05-21T18:30:00.000Z,675.216
2018-05-28T18:30:00.000Z,574.493
2018-06-04T18:30:00.000Z,509.406
2018-06-11T18:30:00.000Z,636.017
2018-06-18T18:30:00.000Z,815.19
2018-06-25T18:30:00.000Z,537.181
2018-07-02T18:30:00.000Z,540.491
2018-07-09T18:30:00.000Z,348.073
2018-07-16T18:30:00.000Z,476.781
2018-07-23T18:30:00.000Z,627.835
2018-07-30T18:30:00.000Z,680.023
2018-08-06T18:30:00.000Z,722.235
2018-08-13T18:30:00.000Z,683.474
2018-08-20T18:30:00.000Z,861.23
2018-08-27T18:30:00.000Z,658.271
2018-09-03T18:30:00.000Z,550.847
2018-09-10T18:30:00.000Z,453.569
2018-09-17T18:30:00.000Z,609.517
2018-09-24T18:30:00.000Z,1023.206
2018-10-01T18:30:00.000Z,966.392
2018-10-08T18:30:00.000Z,971.22
2018-10-15T18:30:00.000Z,844.637
2018-10-22T18:30:00.000Z,831.866
2018-10-29T18:30:00.000Z,1043.321
2018-11-05T18:30:00.000Z,819.403
2018-11-12T18:30:00.000Z,834.215
2018-11-19T18:30:00.000Z,700.87
2018-11-26T18:30:00.000Z,1037.792
2018-12-03T18:30:00.000Z,915.463
2018-12-10T18:30:00.000Z,912.443
2018-12-17T18:30:00.000Z,782.91
2018-12-24T18:30:00.000Z,691.319
2018-12-31T18:30:00.000Z,956.545
2019-01-07T18:30:00.000Z,1305.914
2019-01-14T18:30:00.000Z,1246.635
2019-01-21T18:30:00.000Z,1255.162
2019-01-28T18:30:00.000Z,1170.739
2019-02-04T18:30:00.000Z,1607.024
2019-02-11T18:30:00.000Z,1256.078
2019-02-18T18:30:00.000Z,1368.108
2019-02-25T18:30:00.000Z,1598.139
2019-03-04T18:30:00.000Z,1417.388
2019-03-11T18:30:00.000Z,1239.535
2019-03-18T18:30:00.000Z,1233.977
2019-03-25T18:30:00.000Z,1156.926
2019-04-01T18:30:00.000Z,1391.742
2019-04-08T18:30:00.000Z,1211.186
2019-04-15T18:30:00.000Z,1187.439
2019-04-22T18:30:00.000Z,1497.434
2019-04-29T18:30:00.000Z,1823.567
2019-05-06T18:30:00.000Z,1720.275
2019-05-13T18:30:00.000Z,1897.897
2019-05-20T18:30:00.000Z,1625.264
2019-05-27T18:30:00.000Z,1311.925
2019-06-03T18:30:00.000Z,1673.741
2019-06-10T18:30:00.000Z,1450.738
2019-06-17T18:30:00.000Z,1324.71
2019-06-24T18:30:00.000Z,1030.607
2019-07-01T18:30:00.000Z,1240.481
2019-07-08T18:30:00.000Z,1076.335
2019-07-15T18:30:00.000Z,1291.475
2019-07-22T18:30:00.000Z,1179.428
2019-07-29T18:30:00.000Z,1358.879
2019-08-05T18:30:00.000Z,1327.402
2019-08-12T18:30:00.000Z,1667.244
2019-08-19T18:30:00.000Z,1769.283
2019-08-26T18:30:00.000Z,1783.225
2019-09-02T18:30:00.000Z,1638.78
2019-09-09T18:30:00.000Z,2380.577
2019-09-16T18:30:00.000Z,2584.66
2019-09-23T18:30:00.000Z,2494.11
2019-09-30T18:30:00.000Z,3032.447
2019-10-07T18:30:00.000Z,2856.575
2019-10-14T18:30:00.000Z,3154.454
2019-10-21T18:30:00.000Z,3571.846
2019-10-28T18:30:00.000Z,3321.755
2019-11-04T18:30:00.000Z,3763.262
2019-11-11T18:30:00.000Z,3507.305
2019-11-18T18:30:00.000Z,3809.747
2019-11-25T18:30:00.000Z,2478.31
2019-12-02T18:30:00.000Z,4145.416
2019-12-09T18:30:00.000Z,3714.883
2019-12-16T18:30:00.000Z,3502.306
2019-12-23T18:30:00.000Z,2594.405
2019-12-30T18:30:00.000Z,3028.39
2020-01-06T18:30:00.000Z,4118.084
2020-01-13T18:30:00.000Z,3843.287
2020-01-20T18:30:00.000Z,4003.629
2020-01-27T18:30:00.000Z,3982.362
2020-02-03T18:30:00.000Z,4340.65
2020-02-10T18:30:00.000Z,3711.751
2020-02-17T18:30:00.000Z,4157.616
2020-02-24T18:30:00.000Z,4165.236
2020-03-02T18:30:00.000Z,4213.932
2020-03-09T18:30:00.000Z,4354.404
